City_Tier,CC_Contacted_LY,Service_Score,Account_user_count,account_segment,CC_Agent_Score,rev_per_month,rev_growth_yoy,coupon_used_for_payment,Day_Since_CC_connect,cashback,Loyalty_Score,Tenure_Group,Payment_CC,Payment_DC,Payment_Wallet,Payment_UPI,Gender_Male,Marital_Status_Married,Marital_Status_Single,Login_device_Computer,Login_device_Mobile,Complain_ly_1.0,Churn
0,-1.1487258922839247,2,0.2954010454819943,3,1,1.1930756552244597,1.5422952025723413,0.07020015202164279,-0.7343161669098478,-0.5023321252004949,0.486914179660576,4,0,1,0,0,1,0,0,0,1,0,0
0,-1.0314735455383999,3,-0.6976968164190572,3,4,1.018955522346246,-0.3225749589627526,-0.8791037452125816,-0.7343161669098478,-0.6589085315186051,-0.020622877065267234,0,0,0,0,0,1,1,0,1,0,0,0
2,-0.32795946506525087,2,-0.6976968164190572,2,4,-1.1805566924179858,0.7430651333430154,-0.4044517965954694,-1.3028515810334933,-0.29369605079184524,-0.6990625051897712,4,0,0,1,0,1,1,0,1,0,0,1
0,2.3688445100818205,4,0.2954010454819943,2,3,-0.6549964554650904,1.2758851794958994,3.86741574095854,1.255557782522912,-0.6320838933803502,0.06062525211453982,4,0,1,0,0,0,1,0,1,0,1,1
0,-0.21070711831972602,4,1.288498907383046,2,0,0.36735368127907075,0.7430651333430154,0.07020015202164279,-0.7343161669098478,-0.5589619168256996,-0.01105656536226744,2,0,1,0,0,1,1,0,0,1,0,0
0,-0.914221198792875,3,0.2954010454819943,2,1,-0.6549964554650904,-1.1218050281920786,0.07020015202164279,-1.0185838739716706,-0.7544837237000913,-0.1736010749086995,4,1,0,0,0,1,0,0,1,0,0,0
0,-0.7969688520473502,3,-2.6838925402211604,3,1,-0.24734026506113888,-0.3225749589627526,-0.8791037452125816,-0.45004845984802494,-0.29369605079184524,-0.1009022662794041,1,0,1,0,0,0,0,0,0,1,1,0
0,0.14104992191684845,3,1.288498907383046,4,3,-0.6549964554650904,-1.1218050281920786,-0.4044517965954694,1.5398254895847348,1.755110199901094,0.3246145918568704,1,0,1,0,0,1,1,0,0,1,0,0
0,0.6100593088989478,3,0.2954010454819943,2,2,-0.6549964554650904,-0.3225749589627526,-0.4044517965954694,0.11848695427562071,-0.6674526755181975,-1.1265903916020028,4,1,0,0,0,1,0,1,1,0,0,0
2,0.8445640023899975,2,0.2954010454819943,3,0,-0.24734026506113888,1.0094751564194573,-0.4044517965954694,-0.7343161669098478,-0.17864815833221862,-0.6386005604987914,1,0,1,0,0,1,1,0,1,0,0,0
2,-1.0314735455383999,3,0.2954010454819943,3,3,-1.1805566924179858,-0.5889849820391947,0.07020015202164279,-0.45004845984802494,2.9673136103586,1.190324956259024,0,0,0,1,0,1,1,0,0,1,1,0
2,0.2583022686623733,2,-1.6907946783201089,2,3,0.36735368127907075,-0.05616493588631064,-0.8791037452125816,-1.3028515810334933,-1.030678146012494,-1.093340637227291,4,0,1,0,0,0,0,1,0,1,0,1
0,-0.4452118118107757,3,0.2954010454819943,3,4,5.512325872080923,1.8087052256487834,-0.4044517965954694,0.6870223683992663,-0.673215005192341,1.392897243676074,1,0,1,0,0,0,1,0,0,1,1,0
0,-1.2659782390294496,3,1.288498907383046,2,3,-0.6549964554650904,0.21024508719013135,-0.4044517965954694,-1.0185838739716706,-0.4385490967384218,-0.11502329679769703,4,1,0,0,0,1,1,0,1,0,0,1
0,-0.6797165053018254,3,-0.6976968164190572,2,2,-1.921292242872475,-0.5889849820391947,-0.4044517965954694,-0.7343161669098478,-0.8935744399725243,-0.7124561089145752,2,0,1,0,0,1,1,0,0,1,1,0
0,-0.5624641585563005,2,-2.6838925402211604,2,2,-0.24734026506113888,-0.8553950051156366,-0.8791037452125816,-0.7343161669098478,-1.012795053920324,-0.6399317321443724,2,0,1,0,0,0,0,1,0,1,0,0
0,2.1343398165907708,3,0.2954010454819943,2,0,0.36735368127907075,2.0751152487252256,-0.4044517965954694,-1.3028515810334933,-1.0857183294517285,-1.8341567694611653,4,0,1,0,0,1,0,1,1,0,1,1
2,0.8445640023899975,3,0.2954010454819943,3,0,0.6112993319422937,-1.1218050281920786,0.07020015202164279,0.9712900754610891,-0.013328906991269188,0.08472711878909699,3,0,1,0,0,0,1,0,0,1,0,0
2,0.6100593088989478,2,-0.6976968164190572,3,0,-1.1805566924179858,-0.3225749589627526,-0.4044517965954694,-0.45004845984802494,-0.4246400251111787,-0.9641412420316702,2,0,0,0,0,0,0,1,1,0,1,0
0,-0.6797165053018254,2,1.288498907383046,2,0,0.0857390949893987,-0.5889849820391947,-0.8791037452125816,-1.3028515810334933,-1.0183586825712214,-0.5905804822102224,0,0,1,0,0,0,1,0,0,1,1,1
0,-0.32795946506525087,2,-0.6976968164190572,3,0,-1.1805566924179858,0.7430651333430154,-0.4044517965954694,-0.1657807527862021,-0.02922498885097605,-0.4407422783232633,2,0,1,0,0,1,0,1,1,0,0,0
0,-0.7969688520473502,3,0.2954010454819943,2,4,1.3520348823967834,-0.8553950051156366,-0.8791037452125816,0.6870223683992663,-1.0612781035924292,-0.3145323382686776,4,0,0,0,0,1,0,1,0,1,0,1
0,0.49280696215342296,2,0.2954010454819943,1,3,0.0857390949893987,1.0094751564194573,-0.8791037452125816,-0.7343161669098478,-1.1880493564235897,-1.3408731081430318,4,1,0,0,0,1,1,0,0,0,0,0
0,-0.914221198792875,3,0.2954010454819943,0,2,0.8264746454438883,-0.5889849820391947,-0.4044517965954694,0.9712900754610891,0.5952923272122486,0.9239775377247502,1,0,1,0,0,1,0,1,0,1,0,0
2,1.7825827763541962,3,1.288498907383046,3,4,0.6112993319422937,-0.05616493588631064,-0.4044517965954694,-0.7343161669098478,0.2370343822991102,-1.0992554147548559,4,0,1,0,0,0,0,1,0,0,0,1
0,-1.3832305857749743,3,0.2954010454819943,2,2,-1.1805566924179858,-0.8553950051156366,-0.8791037452125816,-0.45004845984802494,-1.1914272738187777,-0.7139483405863408,4,1,0,0,0,0,1,0,0,0,0,0
0,-0.21070711831972602,2,-0.6976968164190572,0,3,1.4982631963571749,1.0094751564194573,0.544852100638755,-1.3028515810334933,0.5646923696323128,1.2870753355464237,3,0,1,0,0,1,0,1,0,1,0,0
0,0.2583022686623733,3,0.2954010454819943,0,0,1.3520348823967834,-0.05616493588631064,-0.4044517965954694,-0.45004845984802494,-0.29369605079184524,0.19421286407142735,1,0,0,0,0,1,0,1,0,1,0,0
1,-1.1487258922839247,3,0.2954010454819943,2,2,-1.1805566924179858,1.5422952025723413,-0.4044517965954694,-0.1657807527862021,-0.6833487573779043,-0.32628456639169234,0,0,1,0,0,1,1,0,0,1,0,0
0,-0.4452118118107757,3,-0.6976968164190572,0,3,-0.6549964554650904,-0.8553950051156366,-0.8791037452125816,2.3926286107702035,0.13748516965269703,-0.39576477915887204,2,0,0,0,0,1,0,1,0,1,0,0
2,0.49280696215342296,3,-0.6976968164190572,0,2,0.0857390949893987,-0.8553950051156366,-0.8791037452125816,-1.3028515810334933,0.03137882323915572,-0.9077106046511545,4,0,0,1,0,1,1,0,0,1,0,1
0,1.5480780828631464,3,-0.6976968164190572,2,3,-1.1805566924179858,0.7430651333430154,-0.8791037452125816,0.9712900754610891,-1.1884467584700824,-2.2031063101560573,4,0,1,0,0,0,1,0,1,0,1,1
2,0.9618163491355223,2,-0.6976968164190572,3,4,-0.24734026506113888,-0.8553950051156366,-0.4044517965954694,0.6870223683992663,-0.6046631521723564,-0.7556084951104505,1,0,0,1,0,1,0,1,0,1,0,0
0,-0.6797165053018254,3,-2.6838925402211604,3,4,0.6112993319422937,-0.5889849820391947,-0.8791037452125816,2.1083609037083804,-0.30263759683793,-0.036826217827091945,2,0,1,0,0,0,0,1,0,1,1,0
0,-0.7969688520473502,3,0.2954010454819943,2,2,1.3520348823967834,-0.8553950051156366,0.07020015202164279,0.9712900754610891,-0.6044644511491096,0.6649166173702058,1,0,1,0,0,1,0,0,0,1,1,1
0,-0.5624641585563005,3,-0.6976968164190572,2,2,0.36735368127907075,1.5422952025723413,-0.4044517965954694,1.255557782522912,-1.089692349916655,-0.2532292235196191,2,1,0,0,0,1,0,1,0,1,0,0
2,-0.21070711831972602,3,0.2954010454819943,3,0,-0.24734026506113888,-1.1218050281920786,-0.8791037452125816,-0.45004845984802494,-0.6191683268693385,-0.8667921664759011,4,0,1,0,0,0,0,1,0,1,1,0
