Tenure,City_Tier,CC_Contacted_LY,Payment,Gender,Service_Score,Account_user_count,account_segment,CC_Agent_Score,Marital_Status,rev_per_month,Complain_ly,rev_growth_yoy,coupon_used_for_payment,Day_Since_CC_connect,cashback,Login_device,KM_segments,Churn
0.0,1.0,8.0,DC,Male,2.0,4.0,Super,2.0,Divorced,10.0,0.0,22.0,2.0,2.0,154.75,Mobile,0,0
5.0,1.0,9.0,COD,Male,3.0,3.0,Super,5.0,Married,9.0,0.0,15.0,0.0,2.0,146.87,Computer,3,0
0.0,3.0,15.0,Wallet,Male,2.0,3.0,Regular Plus,5.0,Married,2.0,0.0,19.0,1.0,0.0,165.25,Computer,0,1
1.0,1.0,38.0,DC,Female,4.0,4.0,Regular Plus,4.0,Married,3.0,1.0,21.0,7.0,9.0,148.22,Computer,1,1
9.0,1.0,16.0,DC,Male,4.0,5.0,Regular Plus,1.0,Married,6.0,0.0,19.0,2.0,2.0,151.9,Mobile,2,0
1.0,1.0,10.0,CC,Male,3.0,4.0,Regular Plus,2.0,Divorced,3.0,0.0,12.0,2.0,1.0,142.06,Computer,0,0
15.0,1.0,11.0,DC,Female,3.0,1.0,Super,2.0,Divorced,4.0,1.0,15.0,0.0,3.0,165.25,Mobile,2,0
17.0,1.0,19.0,DC,Male,3.0,5.0,Super Plus,4.0,Married,3.0,0.0,12.0,1.0,10.0,268.36,Mobile,3,0
2.0,1.0,23.0,CC,Male,3.0,4.0,Regular Plus,3.0,Single,3.0,0.0,15.0,1.0,5.0,146.44,Computer,0,0
16.0,3.0,25.0,DC,Male,2.0,4.0,Super,1.0,Married,4.0,0.0,20.0,1.0,2.0,171.04,Computer,2,0
6.0,3.0,9.0,Wallet,Male,3.0,4.0,Super,4.0,Married,2.0,1.0,14.0,2.0,3.0,1869.0,Mobile,1,0
0.0,3.0,20.0,DC,Female,2.0,2.0,Regular Plus,4.0,Single,6.0,0.0,16.0,0.0,0.0,128.16,Mobile,0,1
19.0,1.0,14.0,DC,Female,3.0,4.0,Super,5.0,Married,116.0,1.0,23.0,1.0,7.0,146.15,Mobile,3,0
1.0,1.0,7.0,CC,Male,3.0,5.0,Regular Plus,4.0,Married,3.0,0.0,17.0,1.0,1.0,157.96,Computer,0,1
9.0,1.0,12.0,DC,Male,3.0,3.0,Regular Plus,3.0,Married,1.0,1.0,14.0,1.0,2.0,135.06,Mobile,2,0
8.0,1.0,13.0,DC,Female,2.0,1.0,Regular Plus,3.0,Single,4.0,0.0,13.0,0.0,2.0,129.06,Mobile,2,0
0.0,1.0,36.0,DC,Male,3.0,4.0,Regular Plus,1.0,Single,6.0,1.0,24.0,1.0,0.0,125.38999999999999,Computer,0,1
25.0,3.0,25.0,DC,Female,3.0,4.0,Super,1.0,Married,7.0,0.0,12.0,2.0,8.0,179.36,Mobile,2,0
11.0,3.0,23.0,COD,Female,2.0,3.0,Super,1.0,Single,2.0,1.0,15.0,1.0,3.0,158.66,Computer,2,0
4.0,1.0,12.0,DC,Female,2.0,5.0,Regular Plus,1.0,Married,5.0,1.0,14.0,0.0,0.0,128.78,Mobile,2,1
7.0,1.0,15.0,DC,Male,2.0,3.0,Super,1.0,Single,2.0,0.0,19.0,1.0,4.0,178.56,Computer,2,0
0.0,1.0,11.0,COD,Male,3.0,4.0,Regular Plus,5.0,Single,11.0,0.0,13.0,0.0,7.0,126.62,Mobile,0,1
0.0,1.0,22.0,CC,Male,2.0,4.0,Regular,4.0,Married,5.0,0.0,20.0,0.0,2.0,120.24000000000001,Others,0,0
21.0,1.0,10.0,DC,Male,3.0,4.0,HNI,3.0,Single,8.0,0.0,14.0,1.0,8.0,209.99,Mobile,1,0
1.0,3.0,33.0,DC,Female,3.0,5.0,Super,5.0,Single,7.0,0.0,16.0,1.0,2.0,191.96,Others,0,1
0.0,1.0,6.0,CC,Female,3.0,4.0,Regular Plus,3.0,Married,2.0,0.0,13.0,0.0,3.0,120.07,Others,0,0
25.0,1.0,16.0,DC,Male,2.0,3.0,HNI,4.0,Single,12.0,0.0,20.0,3.0,0.0,208.45,Mobile,1,0
23.0,1.0,20.0,COD,Male,3.0,4.0,HNI,1.0,Single,11.0,0.0,16.0,1.0,3.0,165.25,Mobile,2,0
